Profile,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
203,325.61036409235646,352.93,356.43,350.37,320.46,335.45,349.65,357.63,358.35,353.71,360.24,341.58,372.47,378.69,365.47,361.95,383.35,359.66,345.16,357.73,344.81,365.29,339.42,357.81,327.59,293.47,321.35,327.04,316.67,297.95,306.13,306.76,341.17,375.0,384.45,380.45,379.83,392.6,364.71,352.69,322.96,293.1,271.81,270.78,290.71,289.69,278.17,248.93,255.18,239.17,253.31,286.75,259.54,239.39,245.73,278.82,297.85,325.73,314.09,348.53
266,431.09279388427734,451.49,456.66,440.23,451.96,442.26,445.4,444.53,436.21,451.53,478.4,443.76,474.11,474.92,488.97,513.86,511.56,535.01,512.44,488.58,499.6,525.51,552.98,563.04,564.82,553.02,586.62,567.09,582.63,575.49,576.7,564.64,597.18,583.8,596.81,562.1,567.19,580.82,586.19,595.36,560.53,525.55,523.61,490.66,523.88,504.42,502.51,471.79,473.33,464.93,433.06,421.52,413.92,448.21,427.76,430.89,465.0,485.44,519.98,552.76
152,557.8696035678462,555.62,566.64,592.83,574.4,597.68,578.2,577.34,583.27,597.44,571.63,583.91,575.52,556.49,575.85,573.51,579.15,562.18,560.87,569.08,560.77,539.66,571.97,569.21,582.49,569.07,557.48,550.98,544.62,547.71,550.75,550.55,524.99,524.72,501.56,475.39,505.68,513.03,524.19,517.32,545.95,555.61,574.45,561.77,593.97,592.63,593.81,565.9,549.62,534.61,518.57,543.45,510.68,481.01,465.18,444.17,425.4,446.26,450.68,416.08
9,582.5393903583144,579.34,557.07,569.09,574.83,561.38,534.33,546.34,547.76,566.82,567.28,589.99,579.83,575.78,592.7,574.77,547.84,514.85,532.71,541.13,555.42,535.33,509.88,475.9,465.44,471.73,464.19,459.81,488.1,477.48,478.46,498.32,491.08,499.63,525.0,556.47,531.77,561.63,561.08,544.16,541.3,574.9,569.51,556.04,565.38,547.1,517.41,491.43,465.39,441.02,415.74,425.6,403.33,392.53,420.31,418.49,430.22,407.28,385.74,353.6
233,263.02384697471075,287.01,270.11,255.04,287.24,278.78,244.45,236.87,226.19,224.23,223.04,242.57,230.9,236.58,264.46,259.16,288.26,288.12,281.04,298.57,268.69,239.95,255.83,254.92,275.27,304.41,296.6,303.35,303.4,337.11,360.29,389.11,371.91,390.99,374.57,354.18,385.28,351.63,384.21,359.66,382.02,366.33,355.88,336.05,342.04,331.41,342.43,308.53,278.04,250.02,247.24,270.71,297.88,280.02,285.23,304.02,289.24,282.87,284.55,258.99
226,244.2727978675176,241.13,253.74,258.23,251.56,248.56,234.41,242.53,274.84,299.37,274.54,241.62,272.86,274.73,277.38,297.03,284.06,282.79,315.6,327.65,303.41,277.74,257.04,275.71,261.39,227.89,260.5,237.38,220.5,228.42,230.2,239.07,269.77,296.31,293.29,287.05,290.9,272.94,241.59,273.15,251.22,233.14,242.74,248.39,221.17,225.35,235.26,254.36,235.84,241.51,251.5,279.09,266.91,241.26,247.53,266.69,239.38,243.09,221.03,221.21
196,483.8244036456279,456.65,461.22,443.63,438.85,448.23,431.22,399.87,365.59,332.14,297.72,270.44,252.2,234.87,269.21,255.63,229.55,244.3,270.88,283.34,269.07,273.38,288.42,304.39,316.05,342.01,367.92,373.45,368.54,378.45,400.72,366.12,400.56,378.36,376.28,402.32,383.07,381.45,355.73,348.39,325.79,316.24,307.38,341.9,376.54,349.58,365.4,334.02,301.13,273.5,306.08,336.94,315.51,291.83,273.67,274.76,279.64,260.15,278.11,264.78
109,291.62994406231326,312.98,345.69,329.49,329.13,300.16,304.3,304.49,279.6,275.54,263.93,265.46,271.46,237.05,259.61,274.52,265.16,233.87,256.89,288.75,270.56,258.21,236.08,249.47,229.98,236.02,255.56,259.77,251.82,248.08,255.46,220.87,222.82,253.33,225.32,248.5,278.42,262.37,253.3,258.86,285.58,316.51,333.28,304.34,316.18,309.9,307.85,276.29,254.66,275.07,271.85,257.97,249.85,275.41,292.84,276.9,250.13,236.41,267.34,273.05
5,239.63905404407092,249.03,254.62,264.38,280.21,313.52,314.66,302.27,322.93,306.89,302.62,273.11,239.88,272.83,296.35,310.07,303.7,280.83,256.78,239.3,249.82,266.32,277.53,262.13,293.97,310.62,314.42,322.24,316.61,298.95,288.87,306.92,272.93,246.06,222.81,221.54,251.26,266.62,264.81,236.66,245.4,248.6,231.02,239.97,241.91,255.05,264.51,232.68,237.86,253.08,254.25,279.31,290.42,266.83,236.77,253.26,221.81,241.56,273.18,278.46
175,234.1564746333945,221.3,246.83,239.66,263.53,258.75,255.46,256.36,271.27,255.42,228.93,244.43,239.43,244.08,258.22,257.81,266.23,269.32,286.11,300.53,302.92,315.44,341.59,336.85,330.74,349.24,355.02,324.99,352.44,319.59,336.98,355.1,386.82,355.61,362.39,357.34,345.48,316.8,321.19,319.72,292.04,299.91,316.57,335.28,363.66,357.32,389.04,414.62,400.38,376.53,372.01,365.14,370.44,376.28,393.78,394.47,366.81,391.89,378.57,411.56
237,486.56920221499774,520.62,516.53,517.8,519.33,522.09,523.33,488.94,454.06,425.9,398.01,412.35,391.69,419.32,449.32,482.63,513.37,497.4,498.08,475.36,496.79,523.98,548.57,543.91,562.02,533.85,501.67,519.4,514.17,548.86,520.67,545.56,544.16,567.06,587.58,596.02,572.63,596.87,567.65,538.17,533.38,556.36,554.5,577.55,584.47,560.05,591.47,559.12,587.0,566.61,565.82,560.04,537.07,527.14,505.65,484.92,463.01,462.24,483.1,487.93
57,510.4542868458424,519.12,537.48,505.21,528.81,537.18,541.62,550.34,575.85,575.57,575.1,599.44,591.35,575.66,582.64,568.02,548.35,555.13,585.1,596.46,574.64,571.49,549.93,584.62,599.05,587.4,590.69,587.38,580.63,548.53,545.36,557.6,570.03,559.27,590.19,562.69,562.72,576.08,582.16,581.43,561.18,537.11,546.63,553.58,531.13,545.49,542.35,554.09,577.71,552.43,518.77,538.31,545.99,559.96,583.63,589.87,598.24,582.94,573.37,563.14
218,323.71025646244,300.59,299.47,313.6,294.5,259.79,248.8,281.81,295.46,288.55,267.03,256.96,233.85,225.19,256.44,291.28,267.77,236.59,237.01,244.01,232.09,234.19,229.88,254.75,269.7,279.15,271.26,299.89,332.76,309.91,290.52,292.31,263.7,259.25,264.98,266.53,254.69,257.8,289.92,269.34,280.18,248.22,224.2,241.63,225.94,220.91,226.16,243.25,260.97,240.14,256.85,234.62,250.44,246.96,260.51,295.16,325.81,291.11,318.09,287.74
45,418.0924981085728,451.41,425.2,391.39,410.3,431.8,405.21,388.8,355.03,340.56,359.68,360.94,350.31,341.33,306.42,292.41,302.66,335.85,360.14,326.79,354.69,374.51,394.14,391.2,384.06,370.26,339.86,320.84,303.1,301.99,319.31,317.48,286.53,318.58,349.57,369.53,403.92,407.03,439.42,409.71,400.31,381.09,359.8,334.66,343.23,362.92,368.4,343.69,365.47,374.99,367.16,379.35,362.54,351.7,380.92,366.26,364.16,391.47,406.01,375.36
182,492.3831323457608,499.03,486.77,453.55,471.06,451.09,474.5,468.92,474.32,500.43,525.88,516.89,496.51,515.77,511.09,489.53,517.84,496.71,463.52,429.94,438.5,449.82,436.59,423.99,412.75,425.36,394.43,424.47,405.05,440.03,417.04,436.05,416.69,387.35,413.6,438.71,431.96,446.13,450.12,474.83,461.88,463.54,462.52,452.29,479.69,456.3,431.77,437.15,448.17,426.79,419.14,450.4,432.66,444.45,461.26,457.63,488.26,504.83,501.88,506.73
221,503.77276895538307,491.56,503.34,518.52,524.2,556.31,522.81,539.52,571.64,591.27,563.61,551.49,528.56,535.65,550.5,537.7,540.47,553.83,548.32,573.1,585.86,554.04,562.52,543.99,548.02,580.0,593.35,575.2,557.63,539.04,541.32,514.32,517.77,482.86,470.53,450.93,483.92,499.83,489.31,460.81,461.99,441.93,444.48,467.96,476.07,485.44,488.31,518.22,548.45,549.34,535.74,532.91,510.97,520.51,520.52,492.75,471.59,470.16,497.29,501.94
289,498.2998020559799,511.84,532.3,515.27,511.37,522.51,518.29,532.1,541.48,514.51,534.18,549.63,560.54,536.4,520.16,512.68,497.28,478.23,499.61,509.29,513.87,494.69,523.96,502.34,522.99,555.66,571.56,599.55,587.63,562.93,542.2,529.92,495.42,508.14,491.95,514.01,504.15,502.75,535.35,517.3,532.79,550.65,531.12,531.19,520.7,539.73,548.3,546.62,566.18,547.36,565.11,590.59,594.61,591.26,574.11,598.89,577.6,579.26,553.24,586.87
211,321.1667488006379,328.4,340.22,351.07,347.28,336.54,360.05,378.14,365.63,337.84,307.87,279.47,285.27,253.89,243.21,263.84,249.44,269.19,286.37,268.58,284.6,301.94,294.76,274.49,275.98,305.48,315.25,292.35,305.14,300.04,306.45,322.83,323.88,345.86,361.41,369.47,345.03,368.55,399.06,373.65,372.83,355.95,373.77,389.28,364.14,390.53,368.2,389.01,386.0,373.98,350.06,326.79,338.12,341.65,315.2,288.09,258.15,275.21,290.04,259.13
148,442.3462311523074,438.35,405.74,393.12,414.85,428.13,443.87,457.74,444.51,416.49,400.56,423.78,457.41,456.98,422.66,397.46,385.01,390.51,360.77,391.81,382.37,411.25,430.89,448.77,456.24,465.11,474.77,483.78,487.54,521.59,537.85,557.24,583.31,559.46,530.33,529.13,530.12,553.16,549.22,554.18,556.07,523.74,531.81,554.77,530.8,537.4,543.95,520.44,494.08,527.68,520.24,501.16,478.15,489.88,497.54,507.59,478.75,506.3,498.55,485.49
